,Unnamed: 0,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
184,184,vcu,32,71.4,25.0,56.6,801,1811,0.442,572,1066,0.537,1.26,0.506,VCU,32,444,13.9,446,13.9,1.0
185,185,smu,32,72.0,26.0,58.9,833,1884,0.442,570,1112,0.513,1.22,0.512,SMU,32,441,13.8,351,11.0,1.26
186,186,james madison,33,70.4,24.9,56.3,821,1859,0.442,578,1189,0.486,1.25,0.507,James Madison,33,403,12.2,420,12.7,0.96
187,187,marshall,33,80.2,28.0,63.5,925,2096,0.441,593,1141,0.52,1.26,0.521,Marshall,33,475,14.4,414,12.5,1.15
188,188,umass,32,70.7,25.3,57.2,808,1831,0.441,552,1099,0.502,1.24,0.511,UMass,32,468,14.6,444,13.9,1.05
189,189,florida international,32,82.6,29.2,66.1,933,2115,0.441,664,1237,0.537,1.25,0.505,Florida International,32,469,14.7,447,14.0,1.05
190,190,idaho,32,67.9,24.3,55.1,778,1764,0.441,527,1086,0.485,1.23,0.512,Idaho,32,399,12.5,431,13.5,0.93
191,191,se louisiana,33,67.4,23.2,52.6,765,1735,0.441,530,1039,0.51,1.28,0.509,SE Louisiana,33,452,13.7,536,16.2,0.84
192,192,sam houston state,32,75.2,26.8,60.8,858,1946,0.441,556,1127,0.493,1.24,0.518,Sam Houston State,32,531,16.6,399,12.5,1.33
193,193,alabama,33,71.8,25.1,56.8,827,1876,0.441,594,1188,0.5,1.26,0.503,Alabama,33,401,12.2,449,13.6,0.89
194,194,georgia,32,71.1,24.3,55.0,776,1761,0.441,566,1108,0.511,1.29,0.5,Georgia,32,423,13.2,506,15.8,0.84
195,195,seton hall,33,73.9,26.2,59.4,863,1959,0.441,632,1245,0.508,1.25,0.499,Seton Hall,33,447,13.5,408,12.4,1.1
196,196,georgia tech,32,65.3,23.6,53.6,755,1714,0.44,579,1141,0.507,1.22,0.49200000000000005,Georgia Tech,32,433,13.5,459,14.3,0.94
197,197,indiana state,31,69.2,24.4,55.5,757,1719,0.44,579,1228,0.47100000000000003,1.25,0.49200000000000005,Indiana State,31,342,11.0,401,12.9,0.85
198,198,baylor,32,71.7,25.5,57.9,816,1854,0.44,562,1106,0.508,1.24,0.509,Baylor,32,443,13.8,424,13.3,1.04
199,199,se missouri st,31,71.5,25.7,58.4,796,1809,0.44,530,1090,0.486,1.22,0.514,SE Missouri St,31,402,13.0,447,14.4,0.9
