,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj
116,North Dakota State,33,73.2,25.1,55.0,828,1816,.456,513,955,.537,1.33,.543
117,Montana State,32,78.2,26.8,58.8,858,1882,.456,552,1064,.519,1.33,.537
118,Campbell,32,75.8,26.3,57.6,840,1843,.456,533,951,.560,1.32,.539
119,North Carolina Central,33,71.4,25.8,56.5,850,1865,.456,638,1193,.535,1.26,.513
120,Oral Roberts,32,72.3,26.7,58.6,854,1874,.456,588,1140,.516,1.23,.527
121,Winthrop,30,83.3,28.5,62.6,855,1878,.455,483,881,.548,1.33,.554
122,Jacksonville,32,74.5,27.8,61.0,889,1953,.455,676,1308,.517,1.22,.510
123,Hartford,33,75.1,25.7,56.5,848,1863,.455,526,1017,.517,1.33,.542
124,Iowa,33,78.3,26.1,57.4,862,1894,.455,595,1155,.515,1.36,.526
125,Toledo,32,77.3,27.4,60.4,878,1933,.454,562,1102,.510,1.28,.536
128,Maryland,32,71.3,25.2,55.5,807,1777,.454,575,1120,.513,1.28,.519
129,Western Carolina,32,72.0,24.8,54.5,792,1744,.454,496,944,.525,1.32,.539
130,Appalachian State,32,79.9,27.5,60.6,880,1938,.454,588,1124,.523,1.32,.529
131,St. John's,33,77.5,27.9,61.5,922,2031,.454,641,1253,.512,1.26,.523
132,Fresno State,32,76.5,26.5,58.3,847,1866,.454,505,969,.521,1.31,.546
133,Central Michigan,34,82.6,28.2,62.1,959,2113,.454,665,1320,.504,1.33,.523
134,Grand Canyon,33,75.7,26.7,58.9,882,1944,.454,634,1196,.530,1.28,.518
135,Pennsylvania,31,72.6,26.5,58.4,821,1810,.454,539,1007,.535,1.24,.531
136,UAB,34,70.4,25.9,57.0,879,1938,.454,652,1263,.516,1.23,.512
137,UC Santa Barbara,32,73.4,25.8,56.8,825,1819,.454,621,1225,.507,1.29,.510
138,Iona,32,76.8,26.1,57.6,835,1842,.453,553,1038,.533,1.33,.530
139,Stanford,31,72.7,26.1,57.5,808,1783,.453,601,1130,.532,1.26,.511
140,Wisconsin,33,69.1,25.9,57.1,854,1885,.453,619,1243,.498,1.21,.515
141,Green Bay,33,80.4,28.6,63.2,944,2084,.453,687,1327,.518,1.27,.515
142,IUPUI,32,76.1,26.9,59.5,862,1904,.453,636,1236,.515,1.28,.512
143,Florida Gulf Coast,32,71.3,25.3,55.8,809,1787,.453,540,1063,.508,1.28,.528
144,Washington,34,69.8,24.6,54.3,835,1845,.453,581,1111,.523,1.29,.521
145,Clemson,32,69.0,24.7,54.6,791,1748,.453,584,1119,.522,1.26,.512
146,Columbia,28,73.5,27.8,61.4,778,1720,.452,541,1065,.508,1.20,.521
147,Memphis,34,80.6,28.2,62.3,958,2119,.452,706,1344,.525,1.29,.512
150,Dartmouth,30,72.0,26.4,58.3,791,1750,.452,527,1029,.512,1.23,.527
151,UL Monroe,33,78.3,25.9,57.3,854,1890,.452,524,1055,.497,1.37,.539
152,Air Force,32,68.1,25.1,55.5,802,1776,.452,568,1065,.533,1.23,.517
153,Missouri State,32,68.9,24.2,53.6,774,1714,.452,550,1065,.516,1.29,.517
154,Michigan,33,70.7,25.9,57.4,855,1894,.451,589,1137,.518,1.23,.522
155,Hawai'i,31,72.3,25.4,56.3,788,1746,.451,522,995,.525,1.28,.527
156,Mercer,31,72.5,25.4,56.3,787,1746,.451,559,1083,.516,1.29,.516
